[Block 9 | Node 1] Update[CR], stage: [Shuffle]
[Block 10 | Node 1] Verify[CR], stage: [Shuffle]
[Block 10 | Node 1] Update[CR], stage: [Shuffle]
[Block 11 | Node 1] Verify[CR], stage: [Shuffle]
[Block 11 | Node 1] Update[CR], stage: [Shuffle]
[Block 12 | Node 1] Verify[CR], stage: [Shuffle]
[Block 12 | Node 1] Mining, stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 1: Verify Shuffle error: res is false
[Block 12 | Node 1] Update, stage: [Shuffle]
[Block 1 | Node 1] Verify[CR], stage: [Init]
[Block 1 | Node 1] Update[CR], stage: [Init]
[Block 2 | Node 1] Verify[CR], stage: [Init]
[Block 2 | Node 1] Update[CR], stage: [Init]
[Block 3 | Node 1] Verify[CR], stage: [Init]
[Block 3 | Node 1] Update[CR], stage: [Init]
[Block 4 | Node 1] Verify[CR], stage: [Init]
[Block 4 | Node 1] Update[CR], stage: [Init]
[Block 5 | Node 1] Verify[CR], stage: [Init]
[Block 5 | Node 1] Update[CR], stage: [Init]
[Block 6 | Node 1] Verify[CR], stage: [Init]
[Block 6 | Node 1] Update[CR], stage: [Init]
[Block 7 | Node 1] Verify[CR], stage: [Init]
[Block 7 | Node 1] Update[CR], stage: [Init]
[Block 8 | Node 1] Verify[CR], stage: [Init]
[Block 8 | Node 1] Update[CR], stage: [Init]
[Block 9 | Node 1] Verify[CR], stage: [Shuffle]
[Block 9 | Node 1] Update[CR], stage: [Shuffle]
[Block 10 | Node 1] Verify[CR], stage: [Shuffle]
[Block 10 | Node 1] Update[CR], stage: [Shuffle]
[Block 11 | Node 1] Verify[CR], stage: [Shuffle]
[Block 11 | Node 1] Update[CR], stage: [Shuffle]
[Block 12 | Node 1] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 1: Verify Shuffle error: res is false
[Block 13 | Node 1] Mining, stage: [Draw]
[Block 13 | Node 1] Update, stage: [Draw]
[Block 13 | Node 1] Update-Draw: len of MemberPKList: 4, list: [0xc004c721b0 0xc004c73950 0xc007d05170 0xc0055f6ab0]
[Block 1 | Node 1] Verify[CR], stage: [Init]
[Block 1 | Node 1] Update[CR], stage: [Init]
[Block 2 | Node 1] Verify[CR], stage: [Init]
[Block 2 | Node 1] Update[CR], stage: [Init]
[Block 3 | Node 1] Verify[CR], stage: [Init]
[Block 3 | Node 1] Update[CR], stage: [Init]
[Block 4 | Node 1] Verify[CR], stage: [Init]
[Block 4 | Node 1] Update[CR], stage: [Init]
[Block 5 | Node 1] Verify[CR], stage: [Init]
[Block 5 | Node 1] Update[CR], stage: [Init]
[Block 6 | Node 1] Verify[CR], stage: [Init]
[Block 6 | Node 1] Update[CR], stage: [Init]
[Block 7 | Node 1] Verify[CR], stage: [Init]
[Block 7 | Node 1] Update[CR], stage: [Init]
[Block 8 | Node 1] Verify[CR], stage: [Init]
[Block 8 | Node 1] Update[CR], stage: [Init]
[Block 9 | Node 1] Verify[CR], stage: [Shuffle]
[Block 14 | Node 1] Mining, stage: [Draw DPVSS]
[Block 9 | Node 1] Update[CR], stage: [Shuffle]
[Block 10 | Node 1] Verify[CR], stage: [Shuffle]
[Block 14 | Node 1] Mining-DPVSS | PVSS Times: 1, committee work heights: [17]
[Block 14 | Node 1] Mining-DPVSS: cannot find committee workHeight = 17
